GName	ShNam	HMDB	KEGG	PC	Chebi	Mesh	FinalClass	Class	Class2	Class	FinalClass	
"Cholic acid"	CA	HMDB00619	C00695	221493	chebiId:16359	68019826	Steroids	Steroids	"Bile acid metabolism"	Steroids	Steroids	
"Cholic acid_ISO"	CA_ISO	HMDB00619	C00695	221493	chebiId:16359	68019826	Steroids	Steroids	"Bile acid metabolism"	Steroids	Steroids	
"Deoxycholic acid"	DCA	HMDB00626	C11171;C04483	222528	chebiId:28834	68003840	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Glycochenodeoxycholic acid"	G-CDCA	HMDB00637;HMDB06898	C05466	12544	chebiId:36274	68005999	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Glycocholic acid"	G-CA	HMDB00138	C01921	10140	chebiId:17687	68006000	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Glycodeoxycholic acid"	G-DCA	HMDB00631	C05464	3035026	chebiId:27471	68006002	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Glycohyocholic acid"	G-HCA			71361462	chebiId:133176		Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Glycohyodeoxycholic acid"	G-HDCA			114611		67043888	Steroids	Lipid	"Bile acid metabolism"	Steroids		
"Glycoursodeoxycholic acid"	G-UDCA	HMDB00708		12310288		67024033	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Hyocholic acid"	HCA	HMDB00760	C17649	92805	chebiId:81244	67004821	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Hyodeoxycholic acid"	HDCA	HMDB00733		5283820	chebiId:52023	67010471	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Isodeoxycholic acid"	isoDCA	HMDB02536	C17661	164672			Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Lithocholic acid"	LCA	HMDB00761	C03990	9903	chebiId:16325	68008095	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Murideoxycholic acid"	MDCA	HMDB00811	C15515	5283821	chebiId:52030	67010471	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Omega-muricholic acid"	wMCA	HMDB00364	C17727	5283851	chebiId:81299	67004821	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Tauro-alpha-muricholic acid"	T-aMCA			101657566		67037351	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Tauro-beta-muricholic acid"	T-bMCA	HMDB00932		21124703	chebiId:133057	67037351	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Taurochenodeoxycholic acid"	T-CDCA	HMDB00951	C05465	387316	chebiId:16525	68013655	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Taurocholic acid"	T-CA	HMDB00036	C05122	6675	chebiId:28865	68013656	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Taurocholic acid_ISO"	T-CA_ISO	HMDB00036	C05122	6675	chebiId:28865	68013656	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Taurodeoxycholic acid"	T-DCA	HMDB00896	C05463	2733768	chebiId:9410	68013657	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Taurohyocholic acid"	T-HCA		C15516	11954195	chebiId:52022		Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Taurohyodeoxycholic acid"	T-HDCA			119046		67083510	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Taurolithocholic acid"	T-LCA	HMDB00722	C02592	439763	chebiId:36259	68013658	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Tauro-omega-muricholic acid"	T-wMCA			118703092			Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Tauroursodeoxycholic acid"	T-UDCA	HMDB00874		9848818		67031655	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"Ursodeoxycholic acid"	UDCA	HMDB00946	C07880	31401	chebiId:9907	68014580	Steroids	Lipid	"Bile acid metabolism"	Steroids	Steroids	
"4-hydroxymandelic acid"	4-OHMandelate	HMDB00822	C11527	328	chebiId:16388	67014600	Xenobiotics		NA	Unclassified	Xenobiotics	Unclassified
"Benzoic acid"	Benzoate	HMDB01870	C00180	243	chebiId:30746	68019817	Xenobiotics		NA	Unclassified	Xenobiotics	Unclassified
"Beta-hydroxypyruvic acid"	b-OHPyruvate	HMDB01352	C00168	964	chebiId:30841	67012375	Xenobiotics	"Amino acid"	"Glycine; serine and threonine metabolism"	"Organic acids"	Xenobiotics	"Organic acids"
Erythritol	Erythritol	HMDB02994	C00503	8998	chebiId:17113	67002053	Xenobiotics	Xenobiotics	"Sugar; sugar substitute; starch"	Carbohydrates	Xenobiotics	Carbohydrates
"Ferulic acid"	Ferulate	HMDB00537;HMDB00954	C01494	445858	chebiId:17620	67004999	Xenobiotics		NA	Flavonoids	Xenobiotics	Flavonoids
"Glycolic acid"	Glycolate	HMDB00115	C00160	757	chebiId:17497	67031149	Xenobiotics	Xenobiotics	Chemical	"Organic acids"	Xenobiotics	"Organic acids"
"Hippuric acid"	Hippurate	HMDB00714	C01586	464	chebiId:18089	67030514	Xenobiotics	Xenobiotics	"Benzoate metabolism"	Unclassified	Xenobiotics	Unclassified
"Indole-3-acrylic acid"	Indole-3-acrylate	HMDB00734		5375048	chebiId:132244	67001446	Xenobiotics		NA	Indoles	Indoles	
"Methylmalonic acid"	MeMalonate	HMDB00202	C02170	487	chebiId:30860	68008764	Xenobiotics		NA	"Organic acids"	"Organic acids"	
"Methylsuccinic acid"	MeSuccinate	HMDB01844		10349		67039138	Xenobiotics		NA	"Fatty Acyls"	Xenobiotics	"Fatty Acyls"
N-propylamine	N-propylamine	HMDB34006		7852			Xenobiotics		NA	Unclassified	Xenobiotics	Unclassified
"Phenylbutyric acid"	Phenylbutyrate	HMDB00543		4775	chebiId:41500	67075773	Xenobiotics		NA	Unclassified	Xenobiotics	Unclassified
Pyrocatechol	Pyrocatechol	HMDB00957	C00090	289	chebiId:18135	67034221	Xenobiotics	Xenobiotics	"Benzoate metabolism"	Unclassified	Xenobiotics	Unclassified
"Shikimic acid"	Shikimate	HMDB03070	C00493	8742	chebiId:16119	68012765	Xenobiotics		NA	Unclassified	Xenobiotics	Unclassified
